"Country_Region","country_lat","country_long","country_cases","country_deaths","country_incident_rate","country_fatality_ratio","Last_Update","Alcoholic.Beverages","Animal.fats","Animal.Products","Aquatic.Products..Other","Cereals...Excluding.Beer","Eggs","Fish..Seafood","Fruits...Excluding.Wine","Meat","Milk...Excluding.Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy.Roots","Stimulants","Sugar...Sweeteners","Sugar.Crops","Treenuts","Vegetable.Oils","Vegetables","Vegetal.Products","Obesity","Undernourished","Population"
"Montenegro",42.708678,19.37439,226692,2638,36093.8888198936,0.011636934695534,"2022-02-15 04:21:09",2.2188,0.2067,22.8328,0.0014,5.0447,0.5542,0.6472,5.7297,3.3604,17.9487,0.847,0.1132,0.0865,0.2113,0.0175,1.1955,0.2605,6.0418,0,0.0948,0.4258,5.0001,27.1612,24.9,"<2.5",622000
"Morocco",31.7917,-7.0926,1155534,15802,3130.63270406261,0.013675062784825,"2022-02-15 04:21:09",0.287,0.1449,8.4754,0,18.7029,0.4848,1.3901,7.211,2.5074,3.754,0.0079,0.1949,0.1892,0.3306,0.1185,3.4356,0.2042,2.6816,0,0.2549,0.8168,7.286,41.5224,25.6,"3.4",35587000
"Mozambique",-18.665695,35.529562,224719,2189,718.975755736562,0.00974105438347447,"2022-02-15 04:21:09",1.2195,0.0297,4.0111,0,13.1904,0.1932,1.1353,2.8312,0.9302,1.6385,0.1565,0.0852,0.1258,1.2809,0.004,22.2864,0.105,1.0649,0,0.2011,0.7509,2.7738,45.9864,6,"27.9",30366000
"Namibia",-22.9576,18.4904,156810,3995,6171.39645702573,0.0254766915375295,"2022-02-15 04:21:09",5.4716,0.1134,9.6094,0.0053,9.9189,0.1196,1.0164,3.1266,2.6844,5.4479,0.7228,0.2207,0.0818,0.7298,0.1266,12.8231,0.0888,3.9848,9e-04,0.0114,0.9531,2.3626,40.38,15,"27.3",2495000
"Nepal",28.1667,84.25,973541,11900,3341.2754066952,0.0122234194553696,"2022-02-15 04:21:09",0.3318,0.0312,5.4355,0,18.1511,0.1435,0.205,4.7443,0.9817,3.9212,0.0594,0.1536,0.0594,0.9107,0.4195,6.0521,0.0319,0.547,3.0677,0.0978,0.8209,9.277,44.5576,3.8,"8.7",28609000
"Netherlands",42.6255485,-12.72988475,5878310,21973,30154.5886032527,0.0037379791130444,"2022-02-15 04:21:09",4.3903,0.3343,24.2977,0.0111,4.9685,0.747,1.1517,4.923,4.0105,18.0051,0,0.0397,0.1111,0.0852,0.064,4.2639,0.2904,2.3446,0,0.1587,0.8485,3.2587,25.6959,23.1,"<2.5",17335000
"New Zealand",-31.06865,7.55414999999999,22330,53,237.238708213544,0.00237348858038513,"2022-02-15 04:21:09",5.222,0.7446,17.5777,0.017,7.7522,0.7067,1.6771,4.0202,6.8421,7.4627,0,0.1275,0.3296,0.2414,0.0495,3.3719,0.2374,3.8188,0.0109,0.1499,0.5364,6.6889,32.4155,32,"<2.5",4973000
"Nicaragua",12.865416,-85.207229,17791,222,268.561475987666,0.0124782193243775,"2022-02-15 04:21:09",1.7194,0.0836,13.1538,0.003,16.8052,0.549,0.6557,3.8377,3.1044,8.5527,0.6658,0.2055,0.3354,1.3618,0.006,1.9118,0.005,5.7021,0,0.003,0.9227,3.5808,36.8356,21.8,"17",6546000
"Niger",17.607789,8.081666,8712,303,35.9901309706975,0.0347796143250689,"2022-02-15 04:21:09",0.0558,0.1185,7.2385,0,22.2843,0.0239,0.2022,2.5503,1.2702,5.4224,0.0687,0.2022,1.4804,3.4838,0.0807,1.3489,0.0349,0.3666,0,0,0.3975,10.6117,42.7585,4.7,"16.5",23311000
"Nigeria",9.082,8.6753,254016,3141,123.225239604269,0.0123653628117914,"2022-02-15 04:21:09",4.0037,0.0151,1.7391,0,10.922,0.1976,0.7239,4.4268,0.5675,0.173,0.0437,0.0627,0.4763,0.8311,0.1715,19.5271,0.0064,0.6501,0,0.0841,0.8573,6.2627,48.2585,7.8,"13.4",200964000
"North Macedonia",41.6086,21.7453,287481,8768,13798.7789073525,0.0304994069173267,"2022-02-15 04:21:09",1.9045,0.3784,12.0639,0,7.3937,0.2847,0.3507,5.0893,2.0683,8.8045,0.2959,0.1773,0.3253,0.2847,0.1288,3.6779,0.2474,2.9104,0,0.1796,0.9505,14.5512,37.933,23.9,"3.2",2078000
"Norway",60.472,8.4689,1049811,1513,19364.7691801989,0.00144121179907621,"2022-02-15 04:21:09",3.7939,0.6119,21.1992,5e-04,5.9777,0.6194,2.7466,4.2801,3.6083,13.5227,3.6634,0.0893,0.3113,0.3204,0.0235,2.8097,0.4819,2.2652,0,0.099,0.8697,3.9131,28.7933,25,"<2.5",5345000
"Oman",21.512583,55.923255,367679,4211,7200.04339463544,0.0114529249698786,"2022-02-15 04:21:09",0.2621,0.0571,13.5101,0,9.6835,0.5741,2.0105,9.787,3.0531,7.6265,0.0423,0.1888,0.1338,0.2776,0.2297,1.6984,0.1395,2.5903,0.0077,0.0521,0.6995,10.8902,36.486,22.9,"6.8",4695000
"Pakistan",31.8741785714286,71.5652345714286,1488958,29828,1626.76892838474,0.0200328014624993,"2022-02-15 04:21:09",0.0085,0.0969,22.2758,0.0011,14.6224,0.3577,0.1831,2.4099,1.7957,19.6466,0.0117,0.1969,0.3577,0.6993,0.1618,1.8202,0.5258,2.6707,1.7915,0.0852,0.3417,2.2173,27.7226,7.8,"20.3",216565000
"Panama",8.538,-80.7821,742854,7950,17216.5455941084,0.0107019683544815,"2022-02-15 04:21:09",6.6254,0.2467,12.3346,0.0031,14.2627,0.4604,1.005,6.6783,4.98,5.353,0.7431,0.2873,0.4589,0.4129,0.0153,1.3758,0.1195,4.2277,0,0.036,0.7645,1.948,37.6619,22.5,"10",4219000
"Paraguay",-23.4425,-58.4438,626355,17964,8781.6665334741,0.0286802212802644,"2022-02-15 04:21:09",3.9095,0.2191,11.2654,0,7.5639,0.9035,0.3119,5.4532,4.0434,5.3208,0.1788,0.4675,0.2745,0.6185,0.0082,12.5302,1.0112,2.4084,0,0.0015,1.0733,3.7113,38.726,19,"10.7",7156000
"Peru",-10.63732404,-75.2777438,3449712,208466,9267.76592305095,0.0604299721252093,"2022-02-15 04:21:09",3.8623,0.0316,8.6638,0.0014,11.814,0.6431,1.7993,8.5783,1.754,4.0729,0.0719,0.3629,0.2458,0.6367,0.0172,8.7924,0.2501,1.7339,0,0.023,0.5066,4.8044,41.3344,19.1,"9.7",31781000
"Philippines",12.879721,121.774017,3639942,55094,3321.68822748926,0.0151359554630266,"2022-02-15 04:21:09",1.9716,0.3074,6.7108,0,20.0498,0.3527,2.4506,8.5466,3.2257,0.1045,0.1925,0.2717,0.5425,0.1106,0.034,2.8773,0.5399,2.3774,0,0.1838,0.4119,5.4481,43.2905,6,"13.3",108117000
"Poland",51.9194,19.1451,5388907,108137,14238.8121735094,0.0200665923535144,"2022-02-15 04:21:09",6.8201,0.9842,16.559,0,7.9033,0.3702,0.5845,3.0079,4.85,9.7542,0,0.017,0.0798,0.1099,0.0202,5.5631,0.1509,2.4775,0,0.0476,0.3959,6.8655,33.439,25.6,"<2.5",38400000
"Portugal",39.3999,-8.2245,3093723,20565,30340.4128411261,0.00664733074034101,"2022-02-15 04:21:09",4.7147,0.4077,18.6614,5e-04,6.2984,0.4053,2.7295,6.5126,4.5168,10.3936,0.1393,0.2079,0.0965,0.1618,0.0173,3.106,0.2684,1.7316,0,0.2319,0.7246,7.3366,31.3374,23.2,"<2.5",10269000
"Romania",45.9432,24.9668,2574384,61676,13381.98645762,0.0239575758705772,"2022-02-15 04:21:09",4.7679,0.3474,15.9287,0,8.0412,0.6848,0.2844,4.2115,3.0499,11.4018,0.2567,0.1594,0.0974,0.1045,0.1274,4.713,0.1398,1.4126,0,0.1093,0.7301,9.3641,34.0679,24.5,"<2.5",19361000
"Russia",54.5463118319277,62.1208602339759,14102736,334093,9486.91274935797,0.0236899421502324,"2022-02-15 04:21:09",3.7425,0.2486,16.1525,0.0023,8.2803,0.9029,1.1312,3.162,4.318,9.3253,0.0118,0.2249,0.1319,0.1426,0.0118,6.3194,0.1809,4.6144,0,0.0118,0.8663,6.3713,33.8472,25.7,"<2.5",146731000
"Rwanda",-1.9403,29.8739,129311,1452,998.370239393141,0.0112287431077016,"2022-02-15 04:21:09",1.3631,0.0186,2.6366,0,3.538,0.0269,0.5279,15.7285,0.6257,1.3521,0.0283,0.0855,0.2233,2.5036,0.0179,20.4415,0.011,0.5782,0,0,0.2109,2.7193,47.3634,4.8,"36.8",12627000
"Saint Kitts and Nevis",17.357822,-62.782998,5505,40,10349.3006467138,0.0072661217075386,"2022-02-15 04:21:09",4.0867,0.1735,14.0252,0,6.3135,0.3868,3.4174,7.5449,7.8207,1.895,1.5442,0.3318,0.947,0.5422,0.0901,2.715,0.0749,6.4623,0,0.0673,1.385,4.209,35.9677,23.1,NA,53000
"Saint Lucia",13.9094,-60.9789,22121,347,12046.5721645274,0.0156864517878939,"2022-02-15 04:21:09",7.8024,0.0252,14.8893,9e-04,7.2091,0.3326,3.0652,5.9453,8.17,2.8881,1.6054,0.4063,0.6274,0.5663,0.178,2.6427,0.0602,3.7043,0,0.0575,0.6103,4.1169,35.0964,19.8,NA,180000
"Saint Vincent and the Grenadines",12.9843,-61.2872,8246,103,7432.37762174732,0.0124909046810575,"2022-02-15 04:21:09",2.526,0.022,11.0865,0,9.0142,0.3412,1.3785,10.471,6.9184,2.2593,1.9325,0.1672,0.1049,0.6452,0.2113,4.3734,0.2933,3.4592,0,0.0357,0.7227,5.1371,38.9005,23.8,"5.7",111000
"Samoa",-13.759,-172.1046,33,0,16.8255748738082,0,"2022-02-15 04:21:09",1.4236,0.2262,11.163,0.1236,3.6768,0.1314,2.7788,10.7845,5.7993,1.9647,0.7751,0.1398,10.5187,0,0.0582,7.6944,0.1344,2.0811,0.0036,0.0108,0.5117,1.1656,38.8349,45.5,"2.7",199000
