"Country_Region","country_lat","country_long","country_cases","country_deaths","country_incident_rate","country_fatality_ratio","Last_Update","Alcoholic.Beverages","Animal.fats","Animal.Products","Aquatic.Products..Other","Cereals...Excluding.Beer","Eggs","Fish..Seafood","Fruits...Excluding.Wine","Meat","Milk...Excluding.Butter","Miscellaneous","Offals","Oilcrops","Pulses","Spices","Starchy.Roots","Stimulants","Sugar...Sweeteners","Sugar.Crops","Treenuts","Vegetable.Oils","Vegetables","Vegetal.Products","Obesity","Undernourished","Population"
"Afghanistan",33.93911,67.709953,171246,7501,439.90058553998,0.0438024829777046,"2022-02-15 04:21:09",0.0014,0.1973,9.4341,0,24.8097,0.2099,0.035,5.3495,1.202,7.5828,0.0728,0.2057,0.07,0.2953,0.0574,0.8802,0.3078,1.3489,0,0.077,0.5345,6.7642,40.5645,4.5,"29.8",38042000
"Albania",41.1533,20.1683,268304,3414,9323.2330252276,0.012724372353748,"2022-02-15 04:21:09",1.6719,0.1357,18.7684,0,5.7817,0.5815,0.2126,6.7861,1.8845,15.7213,0.1123,0.2324,0.9377,0.238,8e-04,1.8096,0.1055,1.5367,0,0.1515,0.3261,11.7753,31.2304,22.3,"6.2",2858000
"Algeria",28.0339,1.6596,262165,6744,597.853510576704,0.0257242576240154,"2022-02-15 04:21:09",0.2711,0.0282,9.6334,0,13.6816,0.5277,0.2416,6.3801,1.1305,7.6189,0.1671,0.087,0.3493,0.4783,0.0557,4.134,0.2216,1.8342,0,0.1152,1.031,11.6484,40.3651,26.6,"3.9",43406000
"Angola",-11.2027,17.8739,98514,1898,299.741972529403,0.0192662971760359,"2022-02-15 04:21:09",5.8087,0.056,4.9278,0,9.1085,0.0587,1.7707,6.0005,2.0571,0.8311,0.1165,0.155,0.4186,0.6507,9e-04,18.1102,0.0508,1.8495,0,0.0061,0.6463,2.3041,45.0722,6.8,"25",31427000
"Antigua and Barbuda",17.0608,-61.7964,7331,134,7486.11224573156,0.0182785431728277,"2022-02-15 04:21:09",3.5764,0.0087,16.6613,0,5.996,0.2274,4.1489,10.7451,5.6888,6.3663,0.7139,0.2219,0.2172,0.184,0.1524,1.4522,0.1564,3.8749,0,0.0253,0.8102,5.4495,33.3233,19.1,NA,97000
"Argentina",-38.4161,-63.6167,8747601,124349,19354.9078711491,0.0142152116906109,"2022-02-15 04:21:09",4.2672,0.2234,19.3454,0,8.4102,0.9979,0.4693,6.0435,7.0421,10.2328,0,0.3779,0.0116,0.0528,0.0122,3.042,0.4378,3.0536,0,0.02,0.9541,4.3503,30.6559,28.5,"4.6",44939000
"Armenia",40.0691,45.0382,407074,8186,13737.4908630233,0.0201093658646831,"2022-02-15 04:21:09",0.4014,0.1833,13.564,0,7.2982,0.5783,0.2896,6.0989,2.2675,9.9407,0.2355,0.304,0.0899,0.1441,0.0055,2.0359,0.1863,2.6579,0,0.1108,0.4705,16.7019,36.4358,20.9,"4.3",2962000
"Australia",-32.106275,141.3554875,2945496,4664,9503.8485087012,0.00158343450474895,"2022-02-15 04:21:09",5.5436,0.3143,21.4175,0.0033,5.4979,0.4428,1.4264,4.1883,6.7049,12.1018,0.5293,0.424,0.3694,0.0546,0.0458,2.7884,0.2928,2.5364,0,0.3176,1.2798,5.1406,28.5806,30.4,"<2.5",25305000
"Austria",47.5162,14.5501,2299229,14392,25528.8350506307,0.00625948959412046,"2022-02-15 04:21:09",7.0215,0.8555,19.5654,0.0011,6.2116,0.7884,0.7562,4.6069,4.681,12.3776,5e-04,0.1052,0.2683,0.0456,0.0494,3.0548,0.4106,2.6094,0,0.2367,0.8109,5.1098,30.4338,21.9,"<2.5",8877000
"Azerbaijan",40.1431,47.5769,747918,9077,7376.51732019617,0.0121363571942379,"2022-02-15 04:21:09",3.5969,0.2544,11.6416,0,13.0898,0.5593,0.202,4.7988,2.1513,8.3212,0.0145,0.1534,0.0145,0.0347,0.0044,4.7041,0.0587,1.5523,0,0.1906,0.2235,10.0755,38.3584,19.9,"<2.5",10023000
"Bahamas",25.025885,-78.035889,32950,766,8378.93644722923,0.023247344461305,"2022-02-15 04:21:09",2.0175,0.0062,11.4718,9e-04,3.7246,0.625,2.4144,13.2718,5.9269,2.1757,2.9316,0.3218,0.6993,0.0504,0.0884,1.0547,0.1556,6.2151,0,0.0495,0.511,7.7649,38.5229,32.1,NA,389000
"Bangladesh",23.685,90.3563,1914356,28838,1162.40401483561,0.0150640737668438,"2022-02-15 04:21:09",0.0031,0.0156,5.1926,0,29.8045,0.2957,2.5221,2.8655,0.4191,1.8778,0.0197,0.0633,0.082,0.7065,0.3195,5.3378,0.0529,0.9285,0.195,0.0934,0.7615,3.6405,44.8033,3.4,"14.7",163667000
"Barbados",13.1939,-59.5432,51895,299,18058.5375699009,0.00576163406879275,"2022-02-15 04:21:09",3.565,0.2212,12.4976,0,8.0666,0.7792,3.275,5.8723,5.8477,2.2041,3.302,0.1704,0.8734,0.6391,0.1565,4.0812,0.1721,4.3344,0,0.0852,0.8677,5.4725,37.5167,24.8,"3.9",287000
"Belarus",53.7098,27.9534,838571,6265,8874.4048381889,0.00747104300053305,"2022-02-15 04:21:09",3.7563,0.3353,12.7089,0,6.2814,0.7565,0.8372,3.5665,4.1893,6.2104,0.5035,0.3795,0.072,0.001,0.0067,9.1691,0.1142,4.0155,0,0.1399,0.8804,8.7859,37.2904,26.6,"<2.5",9467000
"Belgium",50.7101090909091,4.55578181818182,3447539,29724,30218.4097130593,0.00862180239295335,"2022-02-15 04:21:09",5.373,0.8559,17.7279,0.001,6.6704,0.6487,1.1325,4.1623,3.237,11.6344,0,0.2185,0.0965,0.1132,0.0409,4.4157,0.2461,3.6514,0,0.1309,0.564,6.8161,32.2637,24.5,"<2.5",11458000
"Belize",17.1899,-88.4976,55518,632,13962.5422198526,0.0113836953780756,"2022-02-15 04:21:09",3.3803,0.0832,8.6856,0,11.07,0.3923,1.0325,12.6094,3.489,3.6317,1.7653,0.0569,0.394,1.1259,0.0195,1.0614,0.0849,3.9798,0,0.034,1.0198,4.7721,41.3122,22.4,"7.5",408000
"Benin",9.3077,2.3158,26552,163,219.018117166774,0.0061388972582103,"2022-02-15 04:21:09",5.9019,0.0132,3.7504,0,9.623,0.0711,1.2267,2.9523,1.4107,0.9458,0.145,0.0829,0.6628,0.7367,0.4461,19.7771,0.0042,0.6635,0,0.4028,0.7381,4.1964,46.2493,8.2,"10.1",11801000
"Bolivia",-16.2902,-63.5887,885004,21314,7581.61399239221,0.0240835069672001,"2022-02-15 04:21:09",2.8956,0.0889,11.7799,0,12.3079,0.6626,0.2307,7.5088,6.4098,4.2873,0.1661,0.1006,0.1374,0.3654,0.0422,7.7315,0.2083,2.5724,0,0.7084,0.3573,3.2224,38.2165,18.7,"17.1",11470000
"Bosnia and Herzegovina",43.9159,17.6791,364610,15096,11113.3971284574,0.0414031430843915,"2022-02-15 04:21:09",4.7876,0.0585,12.4319,0,8.7152,0.2576,0.2465,4.6409,1.8165,9.9443,0.486,0.1089,0.0963,0.2718,0.3922,4.0495,0.3504,1.6391,0,0.0822,0.4205,11.6394,37.5645,19.4,"<2.5",3493000
"Botswana",-22.3285,24.6849,260491,2603,11077.0637325254,0.00999266769293373,"2022-02-15 04:21:09",4.2717,0.3402,14.4486,0,11.432,0.1402,0.3551,2.8465,2.284,11.0217,1.6092,0.3056,0.2019,0.2729,0.1626,4.7614,0.1336,4.7857,9e-04,0.015,1.0065,4.0558,35.5491,16.1,"26.4",2283000
"Brazil",-12.6695222222222,-48.4804925925926,27552267,639151,15013.8464491801,0.0231977644525585,"2022-02-15 04:21:09",4.3629,0.2803,17.347,0,8.4292,0.5042,0.5899,6.0936,6.4784,9.3416,6e-04,0.1512,0.7093,0.9254,0.0071,3.3959,0.3024,2.7755,1.0111,0.0513,1.2823,3.307,32.6537,22.3,"<2.5",209332000
"Bulgaria",42.7339,25.4858,1042954,34591,15009.8907021643,0.0331663716712338,"2022-02-15 04:21:09",7.0834,0.2488,17.2483,0.0103,8.875,0.5924,0.4845,3.9812,4.0073,11.5992,0.2254,0.3058,0.345,0.1512,0.6048,1.8576,0.2818,2.3627,0,0.0797,0.7085,6.2037,32.7435,27.4,"3.6",6975000
"Burkina Faso",12.2383,-1.5616,20721,375,99.1279932267083,0.018097582163023,"2022-02-15 04:21:09",15.3706,0.0231,4.6611,0,21.2005,0.2406,0.7077,0.6596,1.2029,2.3195,0.1373,0.1664,1.8664,1.4294,0.0321,0.9723,0.0211,1.1287,0,0.0712,0.9503,1.5036,45.3359,4.5,"20",20321000
"Myanmar",21.9162,95.956,548357,19311,1007.82774512986,0.0352161092135233,"2022-02-15 04:21:09",0.2195,0.1751,13.5188,0.0034,16.7608,0.4613,4.0424,4.0287,4.9753,3.6306,0.3391,0.2298,1.1003,1.2806,0.217,1.4514,0.2298,2.8592,0,0.2913,0.6322,7.0725,36.4807,5.7,"10.6",54045000
"Cabo Verde",16.5388,-23.0418,55844,400,10044.1016712591,0.00716281068691354,"2022-02-15 04:21:09",3.9814,0.0363,9.7559,0.0029,14.7961,0.4602,1.0598,4.6402,3.0725,5.0192,1.119,0.105,0.5394,1.139,0.2731,3.843,0.1671,2.1396,0,0.0258,0.9471,6.6338,40.2437,10.6,"12.6",550000
"Cambodia",11.55,104.9167,123955,3015,741.403283730799,0.0243233431487233,"2022-02-15 04:21:09",4.5783,0.0377,6.08,0,24.8906,0.131,4.2369,2.3184,1.2247,0.3285,0.4853,0.1211,0.79,0.4903,0.0784,3.0519,0.126,2.9923,0.8367,0.0238,0.2511,3.0072,43.9195,3.5,"16.4",16487000
"Cameroon",3.848,11.5021,118675,1915,447.056460471582,0.0161365072677481,"2022-02-15 04:21:09",5.156,0.0146,2.933,0,10.3112,0.0256,1.3206,7.2151,0.876,0.6289,0.0717,0.0673,0.8658,1.4734,0.283,11.3883,0.0234,0.6479,0,0.1324,0.6398,8.859,47.067,9.5,"9.9",25876000
"Canada",54.5273538461539,-92.5075307692308,3202974,35571,8155.68076720422,0.0111056162179275,"2022-02-15 04:21:09",4.8441,0.8084,16.0365,0.006,6.4236,0.7668,1.2148,5.0692,4.4707,8.7596,0.6071,0.0097,0.4334,0.6304,0.0574,3.494,0.4053,5.0237,0,0.1439,1.3441,5.4961,33.9551,31.3,"<2.5",37413000
"Central African Republic",6.6111,20.9394,14187,113,293.741060639816,0.00796503841545076,"2022-02-15 04:21:09",1.7435,0.1228,6.9032,0,3.8844,0.051,0.8041,4.5543,3.7346,1.7581,0.0614,0.4338,0.697,0.8936,0.0031,27.7128,0.2008,0.7022,0,0,0.724,1.9214,43.0942,6.3,"59.6",4745000
"Chad",15.4542,18.7322,7216,190,43.9307314156295,0.026330376940133,"2022-02-15 04:21:09",0.8297,0.2023,12.2804,0,21.6017,0.0495,1.0451,1.0669,3.8543,5.9037,0.064,1.2256,3.0304,1.4133,0,6.991,0.0087,1.3449,0,0,0.4556,0.9141,37.7189,4.8,"37.5",16350000
"Chile",-34.36843125,-71.32456875,2652713,40666,16741.844681142,0.0153299659631479,"2022-02-15 04:21:09",4.969,0.1782,15.0394,0.0155,10.8579,0.7757,0.8711,3.9109,6.1492,6.9966,0.3024,0.0525,0.2588,0.2677,0.0133,4.7183,0.1353,3.5582,0,0.119,0.5435,5.3092,34.9584,28.8,"2.7",19107000
"China",32.7159181818182,111.70973030303,125667,4857,14.2572614906015,0.0386497648547351,"2022-02-15 04:21:09",2.3224,0.0866,13.424,0.0542,8.9298,1.2059,3.3435,4.2451,6.0732,1.7962,1.3773,0.8643,0.4401,0.0704,0.0364,1.9016,0.1781,3.1065,0.0253,0.2665,0.579,13.099,36.5744,6.6,"8.5",1398030000
"Colombia",5.34913939393939,-74.190796969697,6023257,137301,9300.39209040241,0.022795142229528,"2022-02-15 04:21:09",3.1032,0.0814,12.821,0,8.1055,0.8132,0.4552,11.3276,3.554,7.7443,0.0776,0.1729,0.2276,0.3503,0.0343,5.0309,0.0057,4.7518,0.028,0.0947,0.9454,3.0981,37.1774,22.1,"4.8",50374000
"Congo",-0.228,15.8277,23874,375,432.649546256206,0.0157074641869817,"2022-02-15 04:21:09",4.9612,0.0122,6.1258,0,6.2564,0.0457,2.3945,4.0015,3.2735,0.0963,0.173,0.3044,0.3632,0.2408,0.0033,23.2457,0.0171,1.3907,0,0.0016,0.67,2.552,43.8709,8.4,"40.3",5381000
"Congo",-4.0383,21.7587,85793,1316,95.7923794941848,0.0153392467916963,"2022-02-15 04:21:09",4.9612,0.0122,6.1258,0,6.2564,0.0457,2.3945,4.0015,3.2735,0.0963,0.173,0.3044,0.3632,0.2408,0.0033,23.2457,0.0171,1.3907,0,0.0016,0.67,2.552,43.8709,8.4,"40.3",5381000
"Costa Rica",9.7489,-83.7534,766520,7806,15047.1701261495,0.0101836873140949,"2022-02-15 04:21:09",1.6982,0.1529,18.677,7e-04,8.6611,0.7582,1.3317,9.5203,3.8631,12.4535,0.0274,0.1161,0.2914,0.8354,0.0433,1.5676,0.3181,3.9006,0,0.0397,1.4363,2.9837,31.3238,25.7,"4.8",5060000
"Cote d'Ivoire",7.54,-5.5471,81213,791,307.878358232295,0.00973981997955992,"2022-02-15 04:21:09",1.4487,0.0132,2.9144,0,11.4585,0.1587,1.3914,4.8741,0.9586,0.1285,0.0163,0.2648,0.6055,0.1727,0.1247,23.308,0.0759,0.7859,0,0.5443,0.8656,2.8098,47.0806,9,"19",25514000
"Croatia",45.1,15.2,1018367,14537,24806.3463822581,0.0142748144824017,"2022-02-15 04:21:09",4.9846,0.2296,17.311,5e-04,5.7726,0.3955,0.9196,3.4094,3.6945,11.8824,0,0.1889,0.3494,0.0373,0.0236,1.8078,0.2458,3.088,0,0.0761,0.3808,12.5188,32.6838,27.1,"<2.5",4055000
"Cuba",21.521757,-77.781167,1061524,8476,9371.94304106363,0.0079847464588648,"2022-02-15 04:21:09",2.0589,0.1202,10.0096,0,9.9309,0.5263,0.3368,9.0347,3.2837,5.5971,0.0787,0.1456,0.5346,1.1336,0.0089,5.1555,0.0657,3.1617,0,6e-04,0.4535,8.374,39.9895,26.7,"<2.5",11212000
"Cyprus",35.1264,33.4299,293040,788,24271.1169236044,0.00268905268905269,"2022-02-15 04:21:09",3.4447,0.0277,16.1736,0.0015,7.0646,0.5746,1.8209,6.198,5.3167,8.2744,1.4858,0.1584,0.4089,0.211,0.0307,1.7705,0.2387,4.2194,0,0.1781,1.1937,7.3888,33.8191,22.6,"5.6",1250000
"Czechia",49.8175,15.473,3403469,37873,31781.442904657,0.0111277640548511,"2022-02-15 04:21:09",9.8498,0.8945,17.8065,6e-04,5.6937,0.4964,0.5355,3.3962,4.7618,10.983,0.1099,0.134,0.0949,0.1139,0.0316,3.3991,0.134,3.8081,0,0.0477,0.9854,4.5289,32.1944,28.5,"<2.5",10670000
"Denmark",63.2878,-13.3381,2397366,4140,40100.0946288083,0.00172689526755614,"2022-02-15 04:21:09",4.8866,1.2415,23.2141,0.001,6.7226,0.8206,1.1797,3.1098,3.6804,15.9557,0,0.3347,0.1185,0.0369,0.0774,3.1113,0.4069,2.8728,0,0.1138,0.0915,5.2431,26.7812,21.3,"<2.5",5819000
"Djibouti",11.8251,42.5903,15534,189,1572.26402375704,0.0121668597914253,"2022-02-15 04:21:09",0.3778,0.0579,5.5215,0,20.2702,0.1275,0.4276,3.2735,1.7428,2.9085,1.1831,0.2572,0.0568,1.5724,0.1506,1.8633,0.1309,4.2005,0,0.0406,1.6153,9.7637,44.4582,12.2,"18.9",974000
"Dominica",15.415,-61.371,10527,53,14622.6611659791,0.00503467274627149,"2022-02-15 04:21:09",0.941,0.0319,8.9011,0,3.4014,0.1244,1.4188,19.3028,2.782,4.4217,0.6745,0.1219,1.1058,0.2255,0.1512,6.8477,0.2553,3.1738,0,0.0035,0.3797,4.6371,41.0989,28.2,"6.2",72000
"Dominican Republic",18.7357,-70.1627,569702,4347,5251.724204049,0.00763030496645615,"2022-02-15 04:21:09",3.21,0.1122,11.2417,6e-04,6.9232,0.6445,0.6059,18.4431,3.5009,6.1202,0.0906,0.2567,1.1395,0.5881,0.026,2.0198,0.142,2.1332,0,0.0108,1.2948,2.7385,38.7577,26.9,"9.5",10400000
"Ecuador",-1.8312,-78.1834,799140,35036,4529.48638161407,0.0438421302900618,"2022-02-15 04:21:09",3.2929,0.1277,15.3469,0.0328,14.9132,0.6902,0.6893,8.039,4.0115,9.5745,0.1526,0.22,0.1765,0.157,0.0177,2.2701,0.0071,1.737,0,0.016,1.3777,2.4981,34.6522,19.3,"7.9",17268000
"Egypt",26.820553,30.802498,457081,23409,446.654288880739,0.0512141174102621,"2022-02-15 04:21:09",0.0722,0.0896,6.7374,0,17.5311,0.2307,1.5844,6.9387,1.7583,2.7568,0.0187,0.317,0.6541,0.3063,0.0655,2.6919,0.0863,1.7984,2.0338,0.0268,0.3839,10.6559,43.2622,31.1,"4.5",99064000
"El Salvador",13.7942,-88.8965,147786,4002,2278.46778106321,0.0270796963176485,"2022-02-15 04:21:09",2.1651,0.1113,12.888,0,11.7265,0.7533,0.573,5.9517,2.6337,8.7381,0.592,0.0794,1.4273,1.4661,0.0121,2.2462,0.2649,3.526,0,0.0155,0.4565,7.2703,37.1029,22.7,"9",6454000
"Estonia",58.5953,25.0136,423499,2115,31925.1073658596,0.00499410860474287,"2022-02-15 04:21:09",6.1949,0.4556,22.3154,5e-04,6.3498,0.6145,0.7127,3.5061,3.081,17.3068,0.1501,0.1457,0.0518,0.1472,0.0576,3.2403,0.2121,2.3886,0,0.0886,0.3472,4.9558,27.6779,23.8,"2.9",1328000
"Eswatini",-26.5225,31.4659,68815,1384,5931.48899638327,0.0201118942091114,"2022-02-15 04:21:09",6.2239,0.1024,7.4118,0.0019,14.7814,0.1578,0.3643,8.5537,2.5917,3.9299,0.6695,0.262,0.3005,0.3578,0.1615,5.3187,0.0648,3.1796,0,0.0892,0.3258,2.5701,42.5816,13.5,"20.6",1096000
"Ethiopia",9.145,40.4897,467575,7426,406.715751021782,0.0158819440731433,"2022-02-15 04:21:09",2.4543,0.0276,5.2956,0,22.0779,0.0594,0.0608,1.1774,0.7462,4.2647,0.018,0.1382,0.2322,3.0195,0.4298,11.2918,0.2957,1.317,0,0.0802,0.4699,1.8449,44.6989,3.6,"20.6",112079000
"Fiji",-17.7134,178.065,63509,820,7084.54738946326,0.012911555842479,"2022-02-15 04:21:09",1.8598,0.2922,7.8511,0.0021,10.144,0.2682,2.3832,2.1636,3.0004,1.7421,0.2586,0.1642,4.3799,0.7746,0.05,7.8599,0.1238,9.7259,0,0.0157,0.8683,3.9255,42.1469,30,"3.7",892000
"Finland",61.92411,25.748151,582383,2214,10510.9662682706,0.00380162195668486,"2022-02-15 04:21:09",4.5004,0.519,26.8865,0,5.1978,0.3979,1.5306,3.1864,3.4915,20.8378,0.7944,0.1097,0.0883,0.0533,0.0168,2.7671,0.545,1.8388,0,0.046,0.2468,3.8325,23.1132,24.9,"<2.5",5521000
"France",6.43080791666667,-34.7302845,21884370,136187,22794.6253064403,0.00622302583990309,"2022-02-15 04:21:09",4.1631,0.7907,21.7097,0.0011,6.9951,0.611,1.8214,4.878,4.4005,13.784,0.1918,0.301,0.1479,0.0991,0.0164,2.6963,0.2925,2.611,0,0.2093,0.8675,5.1223,28.2903,23.2,"<2.5",64834000
"Gabon",-0.8037,11.6094,47446,302,2131.70701900681,0.00636513088563841,"2022-02-15 04:21:09",6.1881,0.0109,8.1825,0,9.1158,0.0701,2.2578,9.0341,4.32,0.9486,0.4751,0.5758,0.8509,0.0139,0.0015,11.8727,0.0212,1.2508,0.1248,0.0051,0.4824,2.3979,41.8004,13.4,"10.5",2176000
"Gambia",13.4432,-15.3101,11911,365,492.869509373252,0.0306439425740912,"2022-02-15 04:21:09",2.8419,0.0114,10.1417,0,21.8908,0.2008,3.9197,0.8742,1.1134,4.8167,0.9824,0.0812,3.1637,0.1281,0.0043,0.8614,0.2719,4.1176,0,0.0897,2.2026,2.4575,39.8291,8.7,"10.2",2348000
"Georgia",42.3154,43.3569,1458093,15577,36551.2417981161,0.0106831320087265,"2022-02-15 04:21:09",2.5343,0.2356,15.5347,0,15.6253,0.5032,0.6622,3.1735,2.6217,11.3605,0.7882,0.1507,0.084,0.0025,0.0247,3.7542,0.2397,3.311,0,0.1631,0.668,4.0993,34.4636,23.3,"7.9",3997000
"Germany",51.57184375,10.27788125,12628843,120227,15036.3446393046,0.00952003283277811,"2022-02-15 04:21:09",6.7714,0.6715,20.8485,0.0011,6.0363,0.5947,0.6758,3.6131,4.6524,14.1789,0,0.0747,0.1701,0.0419,0.0429,3.5712,0.3493,2.507,0,0.1903,0.8104,5.0542,29.1443,25.7,"<2.5",83100000
"Ghana",7.9465,-1.0232,157917,1426,508.213817518745,0.00903006009485996,"2022-02-15 04:21:09",0.9444,0.0088,2.8956,0,6.323,0.0705,1.4992,10.4274,0.8069,0.4178,0.1657,0.0917,0.7957,0.392,0.238,24.6325,0.0053,0.8128,0.2815,0.0364,0.3655,1.6849,47.1041,9.7,"5.5",30281000
"Greece",39.0742,21.8243,2194453,24836,21053.8348829748,0.0113176267616577,"2022-02-15 04:21:09",2.2879,0.2116,17.6914,5e-04,7.2801,0.4539,1.026,6.3296,3.7836,12.0221,0.0596,0.1947,0.8112,0.2539,0.0243,3.1307,0.256,1.7744,0,0.6676,1.5237,7.9134,32.3038,27.4,"<2.5",10701000
"Grenada",12.1165,-61.679,13266,213,11790.008798514,0.0160560832202623,"2022-02-15 04:21:09",3.1315,0.1276,12.1319,0.0019,7.6569,0.9226,2.5802,11.0608,5.6546,2.7183,1.2873,0.1266,1.3768,0.6417,0.3171,2.2222,0.1104,5.448,0,0.0143,0.9959,3.6085,37.8648,20.2,NA,112000
"Guatemala",15.7835,-90.2308,735957,16643,4107.91910744438,0.0226140929429301,"2022-02-15 04:21:09",1.7037,0.0957,10.3765,0,15.1579,1.4676,0.2807,6.7124,3.9589,4.4093,0.0348,0.1632,0.5276,1.6504,0.0403,1.3316,0.2872,5.3058,0,0.198,0.8747,5.7997,39.624,18.8,"15.2",17581000
"Guinea",9.9456,-9.6966,36329,436,276.62815340409,0.0120014313633736,"2022-02-15 04:21:09",0.311,0.0213,3.8776,0,17.2911,0.1648,0.8939,7.9395,1.1561,1.4724,0.2312,0.1692,0.9506,0.3925,0,11.7958,0.1196,1.3368,0,9e-04,1.3271,4.4286,46.1202,6.6,"16.5",12218000
"Guinea-Bissau",11.8037,-15.1804,7849,164,398.831706129783,0.0208943814498662,"2022-02-15 04:21:09",2.4603,0.0423,4.9295,0,21.6069,0.1038,0.1666,6.366,2.2155,2.1899,0.5331,0.2114,0.328,0.2499,0.0013,8.1087,0.0167,0.7893,0,0.4485,1.8016,2.3642,45.0666,8.2,"28",1879000
"Guyana",4.860416,-58.93018,62265,1196,7916.12580874416,0.0192082229181723,"2022-02-15 04:21:09",1.8708,0.0206,9.1155,0,9.7847,0.1038,1.7011,5.7954,2.5237,4.7277,0.3516,0.0385,1.8367,0.3907,0.1942,1.8384,0.0742,3.2325,0,0.0435,0.2779,15.2061,40.8722,19.2,"8.1",783000
"Haiti",18.9712,-72.2852,29983,807,262.950346208163,0.0269152519761198,"2022-02-15 04:21:09",1.2733,0.0402,3.5986,0,13.4196,0.0525,0.5064,12.0278,1.9687,0.8765,0.3309,0.1532,0.4829,2.0067,0.0022,11.48,0.3801,2.0961,0,0,0.8742,2.0302,46.3997,20.5,"49.3",11263000
"Honduras",15.2,-86.2419,391874,10512,3956.48166994595,0.0268249488355951,"2022-02-15 04:21:09",2.0662,0.1378,13.6048,0,14.1699,0.4601,0.3339,6.8464,3.508,9.0154,0.6923,0.1505,0.1749,1.3962,0.0138,0.6796,0.4686,5.9591,0,0.0276,1.2467,2.6599,36.3883,19.4,"12.9",9746000
"Hungary",47.1625,19.5033,1717072,42631,17774.4284627369,0.0248277299961795,"2022-02-15 04:21:09",6.7533,1.0595,20.0268,7e-04,7.5908,0.8885,0.4113,3.0852,5.2042,12.4568,0.0039,0.0052,0.0679,0.1906,0.1802,3.046,0.1031,2.5433,0,0.0183,0.7214,5.6788,29.9644,28.6,"<2.5",9770000
"Iceland",64.9631,-19.0208,92127,55,26996.9230769231,0.000597001964679193,"2022-02-15 04:21:09",4.7545,0.9461,23.97,0.0025,4.1196,0.5557,4.6117,4.8405,4.6269,13.0028,1.4022,0.2232,0.1759,0.0376,0.0676,1.9909,0.4626,3.9472,0,0.0752,0.4667,3.6874,26.0331,23.1,"<2.5",361000
"India",23.0882745055556,81.80612685,42692943,509358,5262.79297744307,0.0119307305659392,"2022-02-15 04:21:09",0.1959,0.0028,11.3357,0,17.3821,0.3061,0.6499,5.4333,0.356,9.9889,0,0.0311,0.728,1.5709,0.3268,2.7906,0.0753,1.7471,0,0.1526,0.7487,7.5213,38.6568,3.8,"14.5",1391885000
"Indonesia",-0.7893,113.9213,4807778,145176,1757.71949143654,0.0301960697852521,"2022-02-15 04:21:09",0.0794,0.0309,6.2575,9e-04,24.3918,0.4911,3.9386,5.5134,1.0316,0.5943,0.0026,0.1702,2.2113,0.0988,0.1508,4.6343,0.0406,1.8481,0,0.0564,0.8579,3.8558,43.7438,6.9,"8.3",268419000
"Iran",32.427908,53.688046,6835221,133886,8137.85056467773,0.0195876621984863,"2022-02-15 04:21:09",7e-04,0.5369,7.9295,0.002,14.0141,0.4916,0.7813,7.9235,2.3965,3.5808,7e-04,0.1405,0.054,0.4729,0.0559,3.2877,0.1299,2.198,0,0.6421,0.7706,12.5207,42.0701,25.5,"4.9",83911000
"Iraq",33.223191,43.679291,2278582,24729,5664.94332786798,0.0108528023130175,"2022-02-15 04:21:09",0.1915,0.0423,6.2809,0,24.0855,1.2467,0.445,6.4975,2.5171,1.9902,0.3975,0.0396,0.3037,0.4807,0.0304,1.0842,0.1783,3.3755,0,0.1268,2.0139,4.9563,43.7165,27.4,"29",39310000
"Ireland",53.1424,-7.6921,1255571,6291,25427.7616977291,0.0050104693402444,"2022-02-15 04:21:09",7.5703,0.871,18.5712,5e-04,6.3057,0.4653,1.1942,3.3996,4.0102,11.9469,0.2951,0.0831,0.1733,0.1325,0.0362,3.5362,0.1855,4.0147,0,0.0836,0.7497,4.951,31.4242,26.9,"<2.5",4939000
"Israel",31.046051,34.851612,3451526,9624,39876.4906780524,0.00278833188566449,"2022-02-15 04:21:09",1.2876,0.1026,18.7463,0.0017,7.6277,0.5664,1.4696,6.3746,5.5003,10.9066,0.2602,0.2007,0.5233,0.364,0.0278,1.9975,0.2619,1.7747,0,0.2262,1.6743,8.8586,31.2472,26.7,"<2.5",8519000
"Italy",43.0462927204762,12.2259554842381,12134451,151296,19839.347955164,0.0124683020270138,"2022-02-15 04:21:09",3.1892,0.2834,19.0329,5e-04,8.5417,0.6247,1.5816,6.0207,4.2963,12.1258,0.0403,0.1194,0.1836,0.2781,0.0064,1.9043,0.2946,1.7175,0,0.423,1.4224,6.9463,30.9671,22.9,"<2.5",60345000
"Jamaica",18.1096,-77.2975,127163,2750,4294.36292048963,0.0216257873752585,"2022-02-15 04:21:09",2.4636,0.2074,11.9958,0.0074,8.5031,0.1457,1.8692,8.0661,4.3372,5.217,0.6952,0.2111,0.999,0.2177,0.3752,4.5837,0.1677,4.6889,0,0.011,0.7584,6.4772,38.0023,24.4,"8",2811000
